Monster	Level	Role	Source	Page	Rank	Base Role
Aspect of Bahamut	18	Solo Soldier	Draconomicon 2	208	Solo	Soldier
Aboleth Overseer	18	Elite Controller	Monster Manual 1	8	Elite	Controller
Bodak Reaver	18	Soldier	Monster Manual 1	36	Standard	Soldier
Cambion Hellfire Magus	18	Artillery	Monster Manual 1	39	Standard	Artillery
Death Hag	18	Soldier	Monster Manual 1	151	Standard	Soldier
Dire Bulette	18	Elite Skirmisher	Monster Manual 1	38	Elite	Skirmisher
Dracolich	18	Solo Controller	Monster Manual 1	72	Solo	Controller
Elder Black Dragon	18	Solo Lurker	Monster Manual 1	76	Solo	Lurker
Fire Giant	18	Soldier	Monster Manual 1	123	Standard	Soldier
Fire Giant Forgecaller	18	Artillery	Monster Manual 1	123	Standard	Artillery
Gibbering Abomination	18	Controller	Monster Manual 1	126	Standard	Controller
Greater Helmed Horror	18	Elite Soldier	Monster Manual 1	155	Elite	Soldier
Green Slaad (Curse Slaad)	18	Controller	Monster Manual 1	238	Standard	Controller
Medusa Shroud of Zehir	18	Skirmisher	Monster Manual 1	187	Standard	Skirmisher
Mind Flayer Mastermind	18	Elite Controller	Monster Manual 1	188	Elite	Controller
Mordant Hydra	18	Solo Brute	Monster Manual 1	164	Solo	Brute
Nabassu Gargoyle	18	Lurker	Monster Manual 1	115	Standard	Lurker
Rockfire Dreadnought	18	Soldier	Monster Manual 1	104	Standard	Soldier
Slaughter Wight	18	Brute	Monster Manual 1	263	Standard	Brute
Abolethic Skum (Ooze)	18	Minion Brute	Monster Manual 2	172	Minion	Brute
Bebilith (Demon)	18	Solo Brute	Monster Manual 2	52	Solo	Brute
Centaur Fey Charger	18	Soldier	Monster Manual 2	31	Standard	Soldier
Fang Titan Drake	18	Elite Controller	Monster Manual 2	89	Elite	Controller
Fey-incanter Vestige	18	Lurker	Monster Manual 2	107	Standard	Lurker
Fomorian Totemist	18	Elite Skirmisher	Monster Manual 2	113	Elite	Skirmisher
Slaughterstone Eviscerator	18	Brute	Monster Manual 2	186	Standard	Brute
Stone Titan (Giant)	18	Elite Soldier	Monster Manual 2	125	Elite	Soldier
Storm Archon Lightning Walker	18	Skirmisher	Monster Manual 2	16	Standard	Skirmisher
Acolyte of Entropy	18	Skirmisher	The Plane Below	158	Standard	Skirmisher
Eisk Jaat Mystic	18	Lurker	The Plane Below	137	Standard	Lurker
The Cringe	18	Elite Brute	Underdark	158	Elite	Brute
Mezzodemon Psychophant	18	Minion Soldier	Demonomicon	90	Minion	Soldier
Fire Demon	18	Elite Skirmisher	Demonomicon	113	Elite	Skirmisher
Rageborn Ambusher	18	Skirmisher	Demonomicon	139	Standard	Skirmisher
Dreambreath Dracolich	19	Solo Controller	Draconomicon 1	202	Solo	Controller
Purple Dragon, Elder	19	Solo Controller	Draconomicon 1	177	Solo	Controller
Cobalt Dragon, Elder	19	Solo Controller	Draconomicon 2	162	Solo	Controller
Beholder Eye Tyrant	19	Solo Artillery	Monster Manual 1	32	Solo	Artillery
Blackroot Treant	19	Elite Soldier	Monster Manual 1	251	Elite	Soldier
Bralani of Autumn Winds	19	Controller	Monster Manual 1	102	Standard	Controller
Elder Green Dragon	19	Solo Controller	Monster Manual 1	80	Solo	Controller
Fomorian Painbringer	19	Elite Controller	Monster Manual 1	110	Elite	Controller
Goristro (Demon)	19	Elite Brute	Monster Manual 1	55	Elite	Brute
Ice Archon Rimehammer	19	Soldier	Monster Manual 1	20	Standard	Soldier
Phoenix (Roc)	19	Elite Brute	Monster Manual 1	220	Elite	Brute
Rakshasa Noble	19	Controller	Monster Manual 1	217	Standard	Controller
Elder Iron Dragon	19	Solo Lurker	Monster Manual 2	84	Solo	Lurker
Frost Giant Ice Shaper	19	Controller	Monster Manual 2	123	Standard	Controller
Gray Render	19	Elite Brute	Monster Manual 2	137	Elite	Brute
Nothic Mindblight	19	Controller	Monster Manual 2	168	Standard	Controller
Sphinx Mystery	19	Brute	Monster Manual 2	188	Standard	Brute
Warforged Titan	19	Elite Soldier	Monster Manual 2	208	Elite	Soldier
Banesworn Iron Bulwark	19	Soldier	The Plane Above	135	Standard	Soldier
Duthka'gith	19	Brute	The Plane Above	143	Standard	Brute
Quom Harpoonist	19	Artillery	The Plane Above	156	Standard	Artillery
Ash-Wrought Soulburner	19	Controller	The Plane Below	133	Standard	Controller
Mud Archon Ambusher	19	Skirmisher	The Plane Below	131	Standard	Skirmisher
Rageborn Horror	19	Brute	Demonomicon	139	Standard	Brute
Mavavhan	19	Skirmisher	Demonomicon	127	Standard	Skirmisher
Nillung	20	Solo Controller	Draconomicon 2	21	Solo	Controller
Black Slaad (Void Slaad)	20	Skirmisher	Monster Manual 1	239	Standard	Skirmisher
Elder Blue Dragon	20	Solo Artillery	Monster Manual 1	79	Solo	Artillery
Fire Archon Ash Disciple	20	Artillery	Monster Manual 1	19	Standard	Artillery
Ice Archon Frostshaper	20	Controller	Monster Manual 1	21	Standard	Controller
Nightwalker	20	Elite Brute	Monster Manual 1	197	Elite	Brute
Rimefire Griffon	20	Skirmisher	Monster Manual 1	147	Standard	Skirmisher
Rot Harbinger	20	Soldier	Monster Manual 1	223	Standard	Soldier
Soulspike Devourer	20	Elite Soldier	Monster Manual 1	69	Elite	Soldier
Djinn Thunderer	20	Artillery	Monster Manual 2	71	Standard	Artillery
Elder Copper Dragon	20	Solo Skirmisher	Monster Manual 2	79	Solo	Skirmisher
Fomorian Blinder	20	Elite Artillery	Monster Manual 2	114	Elite	Artillery
Frost Titan (Giant)	20	Elite Brute	Monster Manual 2	123	Elite	Brute
Heroslayer Hydra	20	Solo Brute	Monster Manual 2	151	Solo	Brute
Human Diabolist	20	Artillery	Monster Manual 2	144	Standard	Artillery
Human Mystagogue	20	Controller	Monster Manual 2	147	Standard	Controller
Iron Golem	20	Elite Soldier	Monster Manual 2	134	Elite	Soldier
Kazrith (Demon)	20	Lurker	Monster Manual 2	55	Standard	Lurker
Durud Fragment Mage	20	Elite Controller	The Plane Above	157	Elite	Controller
Shaadee	20	Controller	Demonomicon	145	Standard	Controller
Nabassu	20	Lurker	Demonomicon	129	Standard	Lurker
Groom Guardian	20	Minion Skirmisher	Demonomicon	93	Minion	Skirmisher
Armanite Lancer	20	Soldier	Demonomicon	104	Standard	Soldier
Haures	20	Soldier	Demonomicon	116	Standard	Soldier
Deathmask Dragon, Elder	21	Solo Controller	Draconomicon 1	189	Solo	Controller
Pyroclastic Dragon, Elder	21	Solo Brute	Draconomicon 1	194	Solo	Brute
Siegewyrm	21	Elite Controller	Draconomicon 1	208	Elite	Controller
Bronze Dragon, Elder	21	Solo Brute	Draconomicon 2	159	Solo	Brute
Galzaik	21	Elite Controller	Draconomicon 2	134	Elite	Controller
Grave-Burn Drakkensteed	21	Artillery	Draconomicon 2	196	Standard	Artillery
Mercury Dragon, Elder	21	Solo Lurker	Draconomicon 2	165	Solo	Lurker
Dark Naga	21	Elite Controller	Monster Manual 1	194	Elite	Controller
Deathpriest Hierophant	21	Elite Controller	Monster Manual 1	209	Elite	Controller
Fire Titan (Giant)	21	Elite Soldier	Monster Manual 1	124	Elite	Soldier
Ghaele of Winter (Eladrin)	21	Artillery	Monster Manual 1	103	Standard	Artillery
Giant Mummy	21	Brute	Monster Manual 1	193	Standard	Brute
Larva Mage	21	Elite Artillery	Monster Manual 1	175	Elite	Artillery
Marut Blademaster	21	Soldier	Monster Manual 1	185	Standard	Soldier
Tormenting Ghost	21	Controller	Monster Manual 1	117	Standard	Controller
Wild Hunt Hound	21	Skirmisher	Monster Manual 1	161	Standard	Skirmisher
Yuan-Ti Anathema	21	Elite Skirmisher	Monster Manual 1	271	Elite	Skirmisher
Cyclops Feyblade	21	Soldier	Monster Manual 2	40	Standard	Soldier
Elder Adamantine Dragon	21	Solo Soldier	Monster Manual 2	76	Solo	Soldier
Eldritch Titan (Giant)	21	Elite Skirmisher	Monster Manual 2	120	Elite	Skirmisher
Marut Castigator	21	Skirmisher	Monster Manual 2	162	Standard	Skirmisher
Marut Prosecutor	21	Controller	Monster Manual 2	162	Standard	Controller
Remorhaz	21	Elite Brute	Monster Manual 2	176	Elite	Brute
Storm Archon Tempest Weaver	21	Artillery	Monster Manual 2	17	Standard	Artillery
Quarrak	21	Skirmisher	Demonomicon	137	Standard	Skirmisher
Burning Vortex	22	Controller	Draconomicon 1	229	Standard	Controller
Squamous Spewer	22	Solo Soldier	Draconomicon 1	231	Solo	Soldier
Bluespawn Godslayer	22	Elite Brute	Monster Manual 1	89	Elite	Brute
Death Giant	22	Brute	Monster Manual 1	120	Standard	Brute
Efreet Fireblade	22	Soldier	Monster Manual 1	98	Standard	Soldier
Elder Red Dragon	22	Solo Soldier	Monster Manual 1	83	Solo	Soldier
Hezrou (Demon)	22	Brute	Monster Manual 1	56	Standard	Brute
Marut Concordant	22	Elite Controller	Monster Manual 1	185	Elite	Controller
Rot Slinger	22	Artillery	Monster Manual 1	223	Standard	Artillery
Thunderhawk (Roc)	22	Elite Soldier	Monster Manual 1	221	Elite	Soldier
Chain Golem	22	Elite Soldier	Monster Manual 2	133	Elite	Soldier
Chaos Hydra	22	Solo Brute	Monster Manual 2	151	Solo	Brute
Djinn Windbow	22	Skirmisher	Monster Manual 2	72	Standard	Skirmisher
Elder Silver Dragon	22	Solo Brute	Monster Manual 2	86	Solo	Brute
Firbolg Master of the Wild Hunt	22	Elite Skirmisher	Monster Manual 2	110	Elite	Skirmisher
Fomorian Butcher	22	Elite Brute	Monster Manual 2	115	Elite	Brute
Human Dread Assassin	22	Lurker	Monster Manual 2	145	Standard	Lurker
Marut Executioner	22	Brute	Monster Manual 2	162	Standard	Brute
Nothic Eye of Vecna	22	Lurker	Monster Manual 2	169	Standard	Lurker
Nycademon (Demon)	22	Skirmisher	Monster Manual 2	57	Standard	Skirmisher
Oni Thunderer	22	Skirmisher	Monster Manual 2	171	Standard	Skirmisher
Voracia	22	Elite Skirmisher	The Plane Above	133	Elite	Skirmisher
Archdemon Kaugothirn	22	Elite Controller	Demonomicon	91	Elite	Controller
Zuggtmoy	22	Solo Controller	Demonomicon	156	Solo	Controller
City Corruptor (Evanissu)	22	Skirmisher	Demonomicon	108	Standard	Skirmisher
Bloodwind	23	Solo Lurker	Draconomicon 1	209	Solo	Lurker
Cyan Bloodbane	23	Solo Controller	Draconomicon 1	234	Solo	Controller
Dragonborn Warmaster	23	Elite Soldier	Draconomicon 1	216	Elite	Soldier
Rancid Tide	23	Elite Artillery	Draconomicon 1	206	Elite	Artillery
Kuyutha, Exarch of Bahamut	23	Elite Controller	Draconomicon 2	209	Elite	Controller
Blackfire Dracolich	23	Solo Controller	Monster Manual 1	73	Solo	Controller
Blood Fiend (Abomination)	23	Soldier	Monster Manual 1	12	Standard	Soldier
Efreet Cinderlord	23	Artillery	Monster Manual 1	98	Standard	Artillery
Efreet Flamestrider	23	Skirmisher	Monster Manual 1	99	Standard	Skirmisher
Glabrezu (Demon)	23	Elite Brute	Monster Manual 1	54	Elite	Brute
Human Insane Noble	23	Elite Skirmisher	Monster Manual 2	146	Elite	Skirmisher
Shardstorm Vortex Whirlwind	23	Minion Skirmisher	Monster Manual 2	101	Minion	Skirmisher
Swordwing Slasher	23	Lurker	Underdark	153	Standard	Lurker
Shemeskha	23	Elite Controller	Demonomicon	92	Elite	Controller
Nabassu Deathwing	23	Skirmisher	Demonomicon	129	Standard	Skirmisher
Madras Kalgore, the Poison Fist	24	Elite Lurker	Draconomicon 1	247	Elite	Lurker
Shadow Dragon, Elder	24	Solo Lurker	Draconomicon 1	199	Solo	Lurker
Gold Hollow Wyrm	24	Solo Soldier	Draconomicon 2	184	Solo	Soldier
Silvara	24	Solo Soldier	Draconomicon 2	214	Solo	Soldier
Ancient White Dragon	24	Solo Brute	Monster Manual 1	85	Solo	Brute
Aspect of Orcus	24	Elite Brute	Monster Manual 1	208	Elite	Brute
Elder Purple Worm	24	Solo Soldier	Monster Manual 1	214	Solo	Soldier
Lich, Eladrin Wizard	24	Elite Controller	Monster Manual 1	176	Elite	Controller
Marilith (Demon)	24	Elite Skirmisher	Monster Manual 1	57	Elite	Skirmisher
Rakshasa Dread Knight	24	Soldier	Monster Manual 1	218	Standard	Soldier
Storm Giant	24	Controller	Monster Manual 1	124	Standard	Controller
Behir Stormsteed	24	Soldier	Monster Manual 2	23	Standard	Soldier
Elder Gold Dragon	24	Solo Controller	Monster Manual 2	82	Solo	Controller
Caustic Slayer	24	Elite Lurker	The Plane Below	139	Elite	Lurker
Djinn Cloudstalker	24	Lurker	The Plane Below	151	Standard	Lurker
Sezraseth	24	Brute	Demonomicon	144	Standard	Brute
Bonehogue Assassin	24	Lurker	Demonomicon	106	Standard	Lurker
Ieroliith	24	Soldier	Demonomicon	112	Standard	Soldier
Brown Dragon, Ancient	25	Solo Lurker	Draconomicon 1	171	Solo	Lurker
Redspawn Devastator	25	Elite Brute	Draconomicon 1	221	Elite	Brute
Astrklaria	25	Solo Skirmisher	Draconomicon 2	136	Solo	Skirmisher
Death Knight, Dragonborn	25	Elite Soldier	Monster Manual 1	51	Elite	Soldier
Death Titan (Giant)	25	Elite Brute	Monster Manual 1	120	Elite	Brute
Dread Wraith	25	Lurker	Monster Manual 1	267	Standard	Lurker
Efreet Pyresinger	25	Controller	Monster Manual 1	99	Standard	Controller
Sorrowsworn Soulripper	25	Skirmisher	Monster Manual 1	242	Standard	Skirmisher
Swordwing	25	Soldier	Monster Manual 1	249	Standard	Soldier
Aspect of Demogorgon	25	Elite Controller	Monster Manual 2	44	Elite	Controller
Beholder Eye of Chaos	25	Elite Artillery	Monster Manual 2	25	Elite	Artillery
Centaur Campaigner	25	Soldier	Monster Manual 2	31	Standard	Soldier
Djinn Skylord	25	Controller	Monster Manual 2	73	Standard	Controller
Slaughterstone Hammerer	25	Soldier	Monster Manual 2	186	Standard	Soldier
Ehkahk	25	Elite Controller (L)	The Plane Below	146	Elite	Controller (L)
Flaying Wrackspawn	25	Controller	Underdark	155	Standard	Controller
Wendigo Primal Spirit	25	Artillery	Demonomicon	153	Standard	Artillery
Demogorgon Fury Cultist	25	Brute	Demonomicon	99	Standard	Brute
Yvocalith	25	Brute	Demonomicon	151	Standard	Brute
Zythar	25	Artillery	Demonomicon	158	Standard	Artillery
Anthraxin the Devourer	26	Solo Controller	Draconomicon 1	154	Solo	Controller
Champion of Tiamat	26	Elite Soldier	Draconomicon 1	165	Elite	Soldier
Dragon Guardian	26	Solo Lurker	Draconomicon 1	162	Solo	Lurker
Rime	26	Solo Brute	Draconomicon 1	242	Solo	Brute
Bred Dralckensteed	26	Skirmisher	Draconomicon 2	196	Standard	Skirmisher
Ancient Black Dragon	26	Solo Lurker	Monster Manual 1	76	Solo	Lurker
Crownwing (Swordwing)	26	Skirmisher	Monster Manual 1	249	Standard	Skirmisher
Dragonborn Champion	26	Soldier	Monster Manual 1	87	Standard	Soldier
Phane (Abomination)	26	Elite Controller	Monster Manual 1	13	Elite	Controller
Storm Gorgon	26	Skirmisher	Monster Manual 1	143	Standard	Skirmisher
Thunderblast Cyclone	26	Elite Artillery	Monster Manual 1	105	Elite	Artillery
Ancient Iron Dragon	26	Solo Lurker	Monster Manual 2	85	Solo	Lurker
Deva Fallen Star	26	Artillery	Monster Manual 2	62	Standard	Artillery
Son of the Spirit Wolf	26	Elite Skirmisher	Monster Manual 2	211	Elite	Skirmisher
Thrarak, Exarch of Demogorgon	26	Elite Brute	Monster Manual 2	47	Elite	Brute
Guardian Demon Soul Drinker	26	Soldier	Demonomicon	115	Standard	Soldier
Abyrix Chain Master	26	Elite Soldier	Demonomicon	146	Elite	Soldier
Gray Dragon, Ancient	27	Solo Soldier	Draconomicon 1	174	Solo	Soldier
Mindfire Miasma	27	Soldier	Draconomicon 1	229	Standard	Soldier
Cobalt Dragon, Ancient	27	Solo Controller	Draconomicon 2	162	Solo	Controller
Death Giant Soulfire Hurler	27	Artillery	Draconomicon 2	142	Standard	Artillery
Ancient Green Dragon	27	Solo Controller	Monster Manual 1	81	Solo	Controller
Balor (Demon)	27	Elite Brute	Monster Manual 1	53	Elite	Brute
Gibbering Orb	27	Solo Controller	Monster Manual 1	127	Solo	Controller
Shadowraven Swarm	27	Brute	Monster Manual 1	243	Standard	Brute
Sorrowsworn Reaper	27	Soldier	Monster Manual 1	242	Standard	Soldier
Storm Titan (Giant)	27	Elite Controller	Monster Manual 1	125	Elite	Controller
Ancient Copper Dragon	27	Solo Skirmisher	Monster Manual 2	79	Solo	Skirmisher
Retriever	27	Soldier	Monster Manual 2	177	Standard	Soldier
Sirrajadt	27	Elite Lurker (L)	The Plane Below	150	Elite	Lurker (L)
Purple Dragon, Ancient	28	Solo Controller	Draconomicon 1	178	Solo	Controller
Soulgrinder	28	Solo Controller	Draconomicon 1	204	Solo	Controller
Mercury Dragon, Ancient	28	Solo Lurker	Draconomicon 2	165	Solo	Lurker
Orium Dragon, Ancient	28	Solo Soldier	Draconomicon 2	171	Solo	Soldier
Vaporous Serpent, Ancient	28	Minion Brute	Draconomicon 2	171	Minion	Brute
Ancient Blue Dragon	28	Solo Artillery	Monster Manual 1	79	Solo	Artillery
Earthrage Battlebriar	28	Elite Brute	Monster Manual 1	28	Elite	Brute
Efreet Karadjin	28	Soldier	Monster Manual 1	100	Standard	Soldier
Sorrowsworn Deathlord	28	Lurker	Monster Manual 1	242	Standard	Lurker
Ancient Adamantine Dragon	28	Solo Soldier	Monster Manual 2	76	Solo	Soldier
Mirmakur	28	Elite Brute	The Plane Below	154	Elite	Brute
Storm That Walks	28	Solo Controller	The Plane Below	129	Solo	Controller
Tholundru	28	Elite Controller (L)	The Plane Below	105	Elite	Controller (L)
Sibirex Spawn	28	Minion Brute	Demonomicon	147	Minion	Brute
Sibirex Flesh Crafter	28	Elite Controller	Demonomicon	147	Elite	Controller
Mahataa	28	Lurker	Demonomicon	124	Standard	Lurker
Dragonborn Annihilator	29	Solo Soldier	Draconomicon 1	216	Solo	Soldier
Tiamat	29	Solo Controller	Draconomicon 1	164	Solo	Controller
Bronze Dragon, Ancient	29	Solo Brute	Draconomicon 2	160	Solo	Brute
Godforged Colossus	29	Elite Brute	Monster Manual 1	44	Elite	Brute
Runescribed Dracolich	29	Solo Controller	Monster Manual 1	73	Solo	Controller
Beholder Ultimate Tyrant	29	Solo Artillery	Monster Manual 2	26	Solo	Artillery
Hundred-Handed One	29	Elite Soldier	The Plane Above	130	Elite	Soldier
Ashardalon	30	Solo Brute	Draconomicon 1	232	Solo	Brute
Valamaradace	30	Solo Artillery	Draconomicon 2	216	Solo	Artillery
Ancient Red Dragon	30	Solo Soldier	Monster Manual 1	83	Solo	Soldier
Tarrasque (Abomination)	30	Solo Brute	Monster Manual 1	13	Solo	Brute
Oublivae	30	Solo Controller	Demonomicon	130	Solo	Controller
Ancient Abyssal Wurm	30	Elite Skirmisher	Demonomicon	103	Elite	Skirmisher
Dragotha	31	Solo Controller	Draconomicon 1	236	Solo	Controller
Nefermandias	31	Solo Artillery	Draconomicon 1	240	Solo	Artillery
Kostchtchie	31	Solo Brute	Demonomicon	122	Solo	Brute
Baernaloth Vizier	31	Minion Lurker	Demonomicon	135	Minion	Lurker
Phraxas	31	Solo Controller	Demonomicon	134	Solo	Controller
Orcus	33	Solo Brute	Monster Manual 1	206	Solo	Brute
Pazuzu	33	Solo Skirmisher	Demonomicon	132	Solo	Skirmisher
Demogorgon	34	Solo Controller	Monster Manual 2	42	Solo	Controller
Solkara	34	Solo Controller	The Plane Below	152	Solo	Controller
Crawling Blood Swarm	34	Minion Skirmisher	Underdark	157	Minion	Skirmisher
Torog	34	Solo Lurker	Underdark	156	Solo	Lurker
Tiamat	35	Solo Brute	Draconomicon 1	245	Solo	Brute
Bahamut	36	Solo Soldier	Draconomicon 2	208	Solo	Soldier
The Old Man with the Canaries	36	Solo Soldier	Draconomicon 2	206	Solo	Soldier
